NO,주소,층,보증금,월세,관리비,종류,평수,방 수,욕실 수,"향(남향,동향등)",전입가능 여부,주차장,즉시입주여부,복층여부,에어컨,냉장고,세탁기,인덕션,엘리베이터,신발장,옷장,베란다,싱크대,사진1,사진2,사진3,사진4,url 주소
39,인천시 연수구 송도동 29-1,5,5000000,600000,150000,오피스텔,18.83,1,1,남서향,X,O,O,X,O,O,O,O,O,O,O,X,O,#VALUE!,#VALUE!,#VALUE!,,https://naver.me/xpjDFHBv
40,인천시 연수구 송도동 29-1,5,5000000,600000,120000,오피스텔,18.83,1,1,북동향,X,O,X,X,O,O,O,O,O,O,O,X,O,#VALUE!,#VALUE!,#VALUE!,,https://naver.me/xvCdTJcJ
41,인천시 연수구 송도동 29-1,6,10000000,600000,150000,오피스텔,18.83,1,1,북동향,X,O,X,X,O,O,O,O,O,O,O,X,O,#VALUE!,#VALUE!,#VALUE!,,https://naver.me/5fdSK3U1
42,인천시 연수구 송도동 29-1,7,5000000,600000,150000,오피스텔,18.83,1,1,남동향,X,O,X,X,O,O,O,O,O,O,O,X,O,#VALUE!,#VALUE!,#VALUE!,,https://naver.me/GwfmcBRI
43,인천시 연수구 송도동 29-1,7,5000000,600000,150000,오피스텔,18.83,1,1,남동향,X,O,X,X,O,O,O,O,O,O,O,X,O,#VALUE!,#VALUE!,#VALUE!,,https://naver.me/5OlFwdnu
44,인천시 연수구 송도동 29-1,7,5000000,600000,100000,오피스텔,15.14,1,1,서향,X,O,O,X,O,O,O,O,O,O,O,X,O,#VALUE!,#VALUE!,#VALUE!,,https://naver.me/GEdWPr8m
45,인천시 연수구 송도동 29-1,7,5000000,600000,120000,오피스텔,15.14,1,1,서향,X,O,O,X,O,O,O,O,O,O,O,X,O,#VALUE!,#VALUE!,#VALUE!,,https://naver.me/5NeC8t9a
46,인천시 연수구 송도동 29-1,10,3000000,700000,180000,오피스텔,15.63,1,1,남서향,X,O,X,X,O,O,O,O,O,O,O,X,O,#VALUE!,#VALUE!,#VALUE!,,https://naver.me/xqbGKlvY
47,인천시 연수구 송도동 29-1,35,3000000,600000,90000,오피스텔,15.63,1,1,동향,X,O,O,X,O,O,O,O,O,O,O,X,O,#VALUE!,#VALUE!,#VALUE!,,https://naver.me/FiPrInpb
48,인천시 연수구 송도동 29-1,22,3000000,580000,130000,오피스텔,15.63,1,1,북동향,X,O,O,X,O,O,O,O,O,O,O,X,O,#VALUE!,#VALUE!,#VALUE!,,https://naver.me/5yhrJS34
