NO,주소,위도,경도,층,보증금 시그모이드,보증금 z score,보증금,월세 시그모이드,월세 zscore,월세,관리비 시그모이드,관리비 zscore,관리비,종류,평수,방 수,욕실 수,향,"향(남향,동향등)(원본)",전입가능여부,전입가능 여부(원본),주차장,주차장(원본),즉시 입주 여부,즉시입주여부(원본),복층 여부,복층여부(원본),에어컨,에어컨(원본),냉장고,냉장고(원본),세탁기,세탁기(원본),인덕션,인덕션(원본),엘리베이터,엘리베이터(원본),신발장,신발장(원본),옷장,옷장(원본),베란다,베란다(원본),싱크대,싱크대(원본),url 주소,버스_시간(분),지하철_시간(분),총_시간(분)
399,인천시 연수구 송도동 30-2,37.4020314,126.6282587,10,0.978617138,3.823550722,50000000,0.85344,1.76182,1000000,0.86101,1.82372,300000,오피스텔,45.56,2,1,동,동향,0,X,1,O,0,X,0,X,1,O,1,O,0,X,0,X,1,O,1,O,1,O,0,X,1,O,https://naver.me/GlRYrZAS,0,0,28 
400,인천시 연수구 송도동 30-2,37.4020314,126.6282587,10,0.978617138,3.823550722,50000000,0.85344,1.76182,1000000,0.78089,1.27088,250000,오피스텔,45.56,2,1,남동,남동향,0,X,1,O,0,X,0,X,1,O,1,O,0,X,0,X,1,O,1,O,1,O,0,X,1,O,https://naver.me/xm0NEwlq,0,0,28 
401,인천시 연수구 송도동 18-1,37.4009283,126.6385981,3,0.422588357,-0.312156877,5000000,0.55959,0.23948,650000,0.62173,0.4969,180000,오피스텔,26.39,1,1,남동,남동향,0,X,1,O,1,O,0,X,1,O,1,O,1,O,0,X,1,O,1,O,1,O,0,X,1,O,https://naver.me/x3cyXDQz,0,0,25 
402,인천시 연수구 송도동 18-2,37.4008206,126.6387342,3,0.422588357,-0.312156877,5000000,0.55959,0.23948,650000,0.67217,0.71804,200000,오피스텔,26.39,1,1,남동,남동향,0,X,1,O,1,O,0,X,1,O,1,O,1,O,0,X,1,O,1,O,1,O,0,X,1,O,https://naver.me/xdMmcamo,0,0,25 
403,인천시 연수구 송도동 19-1,37.3993373,126.6368779,4,0.536775018,0.147366189,10000000,0.70928,0.89191,800000,0.91502,2.37657,350000,오피스텔,54.43,1,1,남동,남동향,0,X,1,O,1,O,0,X,1,O,1,O,1,O,1,O,1,O,1,O,1,O,1,O,1,O,https://naver.me/F05pO3iW,0,0,28 
404,인천시 연수구 송도동 19-1,37.3993373,126.6368779,4,0.536775018,0.147366189,10000000,0.70928,0.89191,800000,0.98262,4.0351,500000,오피스텔,54.43,1,1,남동,남동향,0,X,1,O,1,O,0,X,1,O,1,O,1,O,1,O,1,O,1,O,1,O,1,O,1,O,https://naver.me/FyAZ6pfp,0,0,28 
405,인천시 연수구 송도동 17-1,37.4023566,126.6401386,5,0.536775018,0.147366189,10000000,0.6625,0.67444,750000,0.97018,3.48225,450000,오피스텔,27,1,1,남동,남동,0,.,0,1,1,즉시 입주,0,X,1,O,1,O,1,O,0,X,1,O,1,O,1,O,0,X,1,O,https://naver.me/xRgCBqcz,0,0,22 
406,인천시 연수구 송도동 17-1,37.4023566,126.6401386,4,0.536775018,0.147366189,10000000,0.61229,0.45696,700000,0.86101,1.82372,300000,오피스텔,22,1,1,북,북,0,.,0,2,1,즉시 입주,0,X,1,O,1,O,1,O,0,X,1,O,1,O,1,O,0,X,1,O,https://naver.me/GJZlSU5F,0,0,22 
407,인천시 연수구 송도동 17-1,37.4023566,126.6401386,3,0.536775018,0.147366189,10000000,0.70928,0.89191,800000,0.86101,1.82372,300000,오피스텔,21,1,1,북서,북서,0,.,0,2,1,즉시 입주,0,X,1,O,1,O,1,O,0,X,1,O,1,O,1,O,0,X,1,O,https://naver.me/xAfZKQU5,0,0,22 
408,인천시 연수구 송도동 17-1,37.4023566,126.6401386,4,0.536775018,0.147366189,10000000,0.61229,0.45696,700000,0.95893,3.15055,420000,오피스텔,26,1,1,북서,북서,0,.,0,2,1,즉시 입주,0,X,1,O,1,O,1,O,0,X,1,O,1,O,1,O,0,X,1,O,https://naver.me/GVV8jyd5,0,0,22 
409,인천시 연수구 송도동 17-1,37.4023566,126.6401386,3,0.536775018,0.147366189,10000000,0.6625,0.67444,750000,0.91502,2.37657,350000,오피스텔,21,1,1,북서,북서,0,.,0,2,1,즉시 입주,0,X,1,O,1,O,1,O,0,X,1,O,1,O,1,O,0,X,1,O,https://naver.me/GQGw9i3X,0,0,22 
410,인천시 연수구 송도동 17-1,37.4023566,126.6401386,5,0.536775018,0.147366189,10000000,0.61229,0.45696,700000,0.91502,2.37657,350000,오피스텔,22,1,1,북서,북서,0,.,0,2,1,즉시 입주,0,X,1,O,1,O,1,O,0,X,1,O,1,O,1,O,0,X,1,O,https://naver.me/FgEz3ezQ,0,0,22 
411,인천시 연수구 송도동 17-1,37.4023566,126.6401386,3,0.536775018,0.147366189,10000000,0.61229,0.45696,700000,0.94928,2.92941,400000,오피스텔,26,1,1,북서,북서,0,.,0,2,1,즉시 입주,0,X,1,O,1,O,1,O,0,X,1,O,1,O,1,O,0,X,1,O,https://naver.me/GYDiZkB9,0,0,22 
412,인천시 연수구 송도동 17-1,37.4023566,126.6401386,4,0.536775018,0.147366189,10000000,0.61229,0.45696,700000,0.94928,2.92941,400000,오피스텔,26,1,1,북서,북서,0,.,0,2,1,즉시 입주,0,X,1,O,1,O,1,O,0,X,1,O,1,O,1,O,0,X,1,O,https://naver.me/GYDiZkB9,0,0,22 
413,인천시 연수구 송도동 17-1,37.4023566,126.6401386,5,0.536775018,0.147366189,10000000,0.61229,0.45696,700000,0.91502,2.37657,350000,오피스텔,21,1,1,북서,북서,0,.,0,2,1,즉시 입주,0,X,1,O,1,O,1,O,0,X,1,O,1,O,1,O,0,X,1,O,https://naver.me/xB76LqHj,0,0,22 
414,인천시 연수구 송도동 17-1,37.4023566,126.6401386,4,0.536775018,0.147366189,10000000,0.5055,0.02201,600000,0.78089,1.27088,250000,오피스텔,13,1,1,북서,북서,0,.,0,2,1,즉시 입주,0,X,1,O,1,O,1,O,0,X,1,O,1,O,1,O,0,X,1,O,https://naver.me/GUTkJkG8,0,0,22 
415,인천시 연수구 송도동 17-1,37.4023566,126.6401386,5,0.536775018,0.147366189,10000000,0.61229,0.45696,700000,0.91502,2.37657,350000,오피스텔,21,1,1,남동,남동,0,.,0,2,1,즉시 입주,0,X,1,O,1,O,1,O,0,X,1,O,1,O,1,O,0,X,1,O,https://naver.me/58qOJOsk,0,0,22 
416,인천시 연수구 송도동 17-1,37.4023566,126.6401386,5,0.536775018,0.147366189,10000000,0.5055,0.02201,600000,0.67217,0.71804,200000,오피스텔,13,1,1,남동,남동,0,.,0,2,1,즉시 입주,0,X,1,O,1,O,1,O,0,X,1,O,1,O,1,O,0,X,1,O,https://naver.me/5vJRURsD,0,0,22 
417,인천시 연수구 송도동 17-1,37.4023566,126.6401386,4,0.536775018,0.147366189,10000000,0.5055,0.02201,600000,0.64483,0.59641,189000,오피스텔,13,1,1,북서,북서,0,.,0,2,1,즉시 입주,0,X,1,O,1,O,1,O,0,X,1,O,1,O,1,O,0,X,1,O,https://naver.me/FjmMgrf0,0,0,22 
418,인천시 연수구 송도동 17-1,37.4023566,126.6401386,4,0.536775018,0.147366189,10000000,0.70928,0.89191,800000,0.94928,2.92941,400000,오피스텔,27,1,1,남동,남동,0,.,0,2,1,즉시 입주,0,X,1,O,1,O,1,O,0,X,1,O,1,O,1,O,0,X,1,O,https://naver.me/FriCrLiJ,0,0,22 
419,인천시 연수구 송도동 17-1,37.4023566,126.6401386,3,0.536775018,0.147366189,10000000,0.61229,0.45696,700000,0.91502,2.37657,350000,오피스텔,21,1,1,북서,북서,0,.,0,2,1,즉시 입주,0,X,1,O,1,O,1,O,0,X,1,O,1,O,1,O,0,X,1,O,https://naver.me/FORi7sDs,0,0,22 
420,인천시 연수구 송도동 17-1,37.4023566,126.6401386,3,0.536775018,0.147366189,10000000,0.5055,0.02201,600000,0.79922,1.38145,260000,오피스텔,13,1,1,남,남,0,.,0,2,1,즉시 입주,0,X,1,O,1,O,1,O,0,X,1,O,1,O,1,O,0,X,1,O,https://naver.me/x1uQ5XH1,0,0,22 
421,인천시 연수구 송도동 17-1,37.4023566,126.6401386,5,0.536775018,0.147366189,10000000,0.61229,0.45696,700000,0.86101,1.82372,300000,오피스텔,22,1,1,북서,북서,0,.,0,2,1,즉시 입주,0,X,1,O,1,O,1,O,0,X,1,O,1,O,1,O,0,X,1,O,https://naver.me/GXFmeERg,0,0,22 
